,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec,rgc
26,6,3179.633,2970.282,18.6765,0.0093,18.574999999999996,0.0261,17.846,0.0086,0.8770,-0.1223,204.21641077993843,-29.82563907269365,4.9582792384780685
41,77,4312.583,2972.924,21.9235,0.0451,21.778999999999996,0.0826,21.014,0.0640,0.5383,-0.1750,204.15836949933387,-29.825525051754962,8.760791550781997
49,26,3459.418,2973.386,21.2285,0.0257,21.344,0.0634,20.317,0.0315,0.5057,0.0613,204.2020772973967,-29.82550431608314,5.795194931870379
55,19,3379.292,2973.777,20.7815,0.0252,20.759,0.0535,20.148,0.0361,0.6103,-0.1267,204.20618216136313,-29.82548618029328,5.548236502259632
87,95,3938.846,2975.602,21.2455,0.0242,20.054000000000002,0.0327,19.793,0.0215,0.6010,0.2017,204.17751611826262,-29.82540771163822,7.413041729848657
92,21045,4147.513,2975.768,22.3095,0.0937,,,21.993,0.1994,0.7120,-5.4080,204.16682608214398,-29.825399735106807,8.161571001029444
100,21071,4307.022,2976.303,21.2465,0.0258,21.094,0.0453,20.43,0.0366,0.5450,0.1553,204.15865442184668,-29.82537491927059,8.747147576940685
120,99,4082.842,2976.986,22.6295,0.1040,,,22.015,0.1454,0.5830,-4.5700,204.17013919055492,-29.82534587937852,7.930203387617617
143,131,4389.304,2977.966,23.334500000000002,0.1428,,,22.532999999999998,0.2467,0.6760,-3.6705,204.15443912499393,-29.825300276087788,9.055424844154553
147,112,3578.716,2978.082,22.3675,0.1030,,,21.778,0.1383,0.5820,-3.5215,204.19596560605095,-29.825296498495028,6.190893214157402
215,184,3252.915,2980.571,20.9635,0.0237,20.819000000000003,0.0558,20.023,0.0278,0.5640,-0.1747,204.2126563750512,-29.825182771363743,5.196095120223793
222,21152,4242.981,2980.869,20.8125,0.0174,20.61,0.0379,20.003999999999998,0.0237,0.5097,-0.1150,204.1619352849879,-29.825172463164428,8.520940074729465
226,169,3376.745,2980.949,20.116500000000002,0.0132,20.054000000000002,0.0252,19.404999999999998,0.0156,0.4490,-0.0463,204.2063125594643,-29.825167398640794,5.561846419906732
236,132,4414.554,2981.396,21.767500000000002,0.0374,21.539,0.0677,20.762999999999998,0.0476,0.5607,-0.0550,204.15314560620368,-29.825147580191917,9.156199958793946
240,173,3854.758,2981.545,22.087500000000002,0.0686,,,20.971999999999998,0.0564,0.5430,-3.5620,204.18182395147474,-29.825143576350968,7.132430631102249
269,21182,3507.816,2982.883,22.8775,0.1361,,,21.828,0.1285,0.6110,-3.9020,204.19959777515908,-29.825082623667477,5.975402583688071
292,21190,4002.287,2983.712,21.186500000000002,0.0247,21.040999999999997,0.0581,20.309,0.0313,0.5050,-0.0943,204.1742660469359,-29.825047176254984,7.656816638302222
296,21199,3612.409,2983.885,21.5435,0.0305,21.185000000000002,0.0603,20.559,0.0408,0.4980,0.2620,204.1942394736204,-29.825038788829822,6.317026265713585
299,217,3779.814,2984.000,23.3835,0.1207,,,22.076,0.1400,0.6505,-2.9335,204.18566332547502,-29.825034345699525,6.879822463052238
323,21214,3520.782,2985.013,20.6875,0.0167,20.372999999999998,0.0327,19.483999999999998,0.0180,0.5360,-0.1383,204.1989335092446,-29.824988055348495,6.02278153250918
325,236,3766.882,2985.041,22.0045,0.0423,21.746000000000002,0.0840,21.09,0.0598,0.4823,0.0790,204.1863258279114,-29.824988047179296,6.838219078575187
361,21240,3438.151,2986.815,21.4935,0.0316,21.43,0.0704,20.706,0.0432,0.5073,0.1827,204.20316666884662,-29.824907282950015,5.767523371237526
364,21239,3121.916,2987.023,19.704500000000003,0.0131,19.915999999999997,0.0463,19.364,0.0191,0.6823,0.0430,204.21936733914652,-29.82489417612064,4.859434310132915
379,293,4257.431,2987.746,21.8275,0.0396,21.576999999999998,0.0769,20.858999999999998,0.0477,0.5393,-0.1830,204.16119506771,-29.824866718188478,8.58836457752495
407,307,3832.134,2988.609,21.044500000000003,0.0198,20.964999999999996,0.0443,20.38,0.0309,0.4350,-0.1313,204.18298296825023,-29.824829596444758,7.07127185899341
422,266,4176.661,2989.177,20.7985,0.0163,20.656999999999996,0.0337,19.921,0.0224,0.4797,-0.0870,204.16533291161636,-29.824803627510935,8.296492534293908
456,320,3783.477,2990.430,22.2005,0.0490,21.756999999999998,0.0797,21.503,0.0814,0.4570,0.1430,204.1854756534505,-29.82474857638549,6.908498572900212
465,342,3734.070,2990.816,21.390500000000003,0.0271,21.372999999999998,0.0584,20.712,0.0440,0.4810,-0.0720,204.18800676226124,-29.82473128487939,6.7413729685459955
476,21304,3194.575,2991.095,20.1945,0.0128,20.089,0.0426,19.192,0.0137,0.5687,-0.0060,204.21564496453288,-29.824714260729046,5.066873376928712
496,21312,3562.455,2991.702,21.5655,0.0271,21.46,0.0692,20.649,0.0385,0.4660,-0.2320,204.19679855413594,-29.824691060042884,6.175397343224825
498,357,3806.084,2991.734,21.299500000000002,0.0292,21.073999999999998,0.0565,20.496,0.0391,0.5223,-0.1937,204.18431749884323,-29.824690666957142,6.989255954636567
501,21334,3861.108,2991.806,21.0375,0.0203,20.990000000000002,0.0434,20.285,0.0313,0.4630,-0.2193,204.18149863239842,-29.82468753699697,7.179455670498723
