,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec
158,5000163,2334.633,-122.500,19.083,0.0058,,,18.195999999999998,0.0101,0.8075,0.3565,49.5679615724465,-66.60956410772737
329,5000343,3415.218,-93.598,23.966,0.0906,,,22.433,0.1780,1.0055,0.3990,49.446993150299626,-66.60824987427056
567,5000595,1065.218,-60.311,,0.3352,,,21.974,0.1774,0.7390,6.2030,49.71005640588495,-66.60671618998714
701,5000735,5317.874,-45.388,19.256999999999998,0.0079,,,18.326,0.0101,0.9185,0.1610,49.23402797405088,-66.60582875522857
795,5000833,4479.539,-30.791,17.519,0.0042,,,16.705,0.0055,1.0345,0.1160,49.32787196587567,-66.60533825388158
797,5000835,412.603,-30.568,19.333,0.0075,,,18.479,0.0120,0.9595,0.2085,49.78309628809145,-66.60530114258086
957,5001003,3192.624,-9.146,20.540999999999997,0.0118,,,19.218,0.0127,0.6795,0.2805,49.47192286840677,-66.60451020060994
1047,5001096,3399.857,4.899,19.744,0.0066,,,18.935,0.0101,0.6330,0.3760,49.44872993208166,-66.60387332851704
1137,5001177,436.642,17.929,16.625,0.0031,,,15.805,0.0034,1.0230,0.3975,49.78038520745369,-66.60314978009339
1176,5001213,5113.648,24.505,19.698999999999998,0.0077,,,18.923,0.0124,0.7655,0.3210,49.25692390191293,-66.60276616187792
1181,5001217,5259.089,25.326,15.76,0.0025,,,14.898,0.0037,1.3655,0.0920,49.24064666597599,-66.60269889032672
1243,5001273,3095.397,34.786,21.247,0.0161,,,19.45,0.0124,0.5700,0.1000,49.48281037972685,-66.6025624332534
1251,5001282,3334.731,36.127,20.322000000000003,0.0076,,,19.015,0.0091,0.5385,0.0910,49.45602427294636,-66.60248976963679
1260,5001290,-333.330,36.880,20.119,0.0110,,,19.305,0.0169,0.8515,0.3460,49.86655051628663,-66.60215548080176
1264,5001294,3159.457,37.257,18.656999999999996,0.0032,,,17.814,0.0047,0.5120,0.2460,49.47564107659332,-66.60244956217066
1328,5001348,2358.005,46.485,21.412999999999997,0.0173,,,19.69,0.0141,0.5655,0.3565,49.56533920235786,-66.60205403668513
1371,5001385,-579.024,53.429,17.241,0.0030,,,16.462,0.0045,0.8720,0.3545,49.89403734879876,-66.60136152900293
1419,5001425,623.704,59.814,18.07,0.0033,,,17.251,0.0046,0.7045,0.3305,49.75943282325186,-66.60131805226439
1455,5001457,2533.936,66.127,21.360999999999997,0.0164,,,20.067,0.0182,0.5640,0.2055,49.54564935259497,-66.60118224011529
1465,5001466,520.052,67.459,16.204,0.0025,,,15.218,0.0033,1.0290,0.2340,49.77102983292753,-66.6009621076936
1491,5001489,2197.294,70.687,20.618000000000002,0.0097,,,19.111,0.0092,0.5420,0.0975,49.58332405598873,-66.60097516525678
1495,5001494,2748.535,71.759,21.375,0.0160,,,19.455,0.0115,0.5230,0.1890,49.52163293008446,-66.60093002810163
