,ID,X,Y,J,J_err,H,H_err,K,K_err,chi,sharp,ra,dec,rgc
3,1,5802.032,38.572,,0.4923,,,25.9595,0.3551,0.0510,3.6970,11.663684754496291,-20.94851640061494,47.16274379182497
16,45,2352.947,62.085,,0.2780,22.138,0.3244,,,1.3285,0.4220,11.827825477413763,-20.94749897625777,13.671504547376642
69,5000001,5727.135,86.642,,0.4780,22.013,0.4316,29.1555,0.5237,1.3780,4.4563,11.667250593325969,-20.94638225023032,45.94753264365421
104,277,5484.188,94.993,,0.4156,,,25.2795,0.1622,0.0305,8.5495,11.678812426534938,-20.946017941608172,42.302632973507485
111,5000032,5987.494,96.074,,,26.409000000000002,0.1807,19.8045,0.0873,0.0250,8.9895,11.654860718570626,-20.94595485829922,49.83865081605336
114,100160,4330.207,96.748,,0.3921,,,25.6135,0.2062,0.0260,8.5485,11.73372917151628,-20.94596180609045,25.560983555130104
124,100172,4937.170,99.668,,0.5860,21.284000000000002,0.2054,23.7875,0.1497,1.1113,6.1930,11.704844509419775,-20.945822720930195,34.22126238039607
134,5000044,5795.940,102.650,,,22.714000000000002,0.3622,26.1525,0.2641,1.4755,5.2530,11.66397675697022,-20.94566871326163,46.94786111879592
146,5000003,5656.566,106.345,,0.1845,22.217000000000002,0.3796,24.4145,0.4074,1.2690,0.9010,11.670609501664492,-20.94550864007023,44.8530368081846
182,409,1583.128,114.311,,0.6975,,,21.5545,0.2673,1.1325,4.4750,11.864459311663198,-20.945162574099864,22.541815802246074
307,750,5959.097,138.399,,0.2278,,,22.8895,0.5614,1.4605,3.6235,11.656213572145262,-20.944074708958407,49.33116188194704
423,972,3927.569,157.503,17.607,0.0079,16.952,0.0174,15.9545,0.0068,1.4050,0.1383,11.752890685176046,-20.9432651059592,20.00908039769359
618,1100,6044.947,221.487,,0.1985,,,21.6685,0.3221,1.3430,1.2525,11.652131121600705,-20.940379089352554,50.468339944956625
1176,101084,4001.895,370.300,17.159,0.0069,16.587,0.0238,16.4155,0.0120,2.5017,0.2853,11.74935523149776,-20.933807073563802,20.43497204459009
1505,101321,3110.354,450.297,23.735,0.1146,22.552,0.1857,21.9355,0.1498,1.1367,-0.4300,11.791778934640796,-20.930252679636162,10.948384065004829
1555,101359,1978.735,464.669,18.906,0.0094,18.661,0.0236,18.6625,0.0199,1.2330,-0.0767,11.845625587343708,-20.92960009911029,17.283373040330783
1583,1630,4397.007,468.634,17.892,0.0065,17.469,0.0320,17.1565,0.0134,2.3453,0.3583,11.730555050421248,-20.929432922194092,25.63128651110395
1666,101449,4031.901,483.574,16.811999999999998,0.0067,16.333000000000002,0.0175,16.250500000000002,0.0076,2.0440,0.3623,11.747928280929333,-20.928772504810514,20.55133862471073
2029,101714,6036.343,570.723,17.189,0.0069,16.749,0.0311,16.2945,0.0098,2.9500,0.3590,11.65255310594906,-20.92485796192259,49.69181105574411
2222,5000148,2978.257,616.371,,,22.913,0.2503,21.7635,0.1752,1.3390,-0.3010,11.798063493846945,-20.9228709340735,9.977041523121033
2235,101851,1950.182,619.800,15.745999999999999,0.0089,15.272000000000002,0.0215,15.2675,0.0088,4.3813,0.3960,11.846980940999883,-20.92270488615574,17.565743879745632
2418,5000152,2924.229,655.767,,,22.408,0.1649,22.0905,0.2051,1.2875,-3.3305,11.800633935584276,-20.92111964493456,9.788713230123243
2614,5000156,3115.044,698.566,,,21.601000000000003,0.1007,20.1605,0.0407,1.3085,-1.4475,11.791554526210106,-20.919218619006642,10.23192695888803
2693,5000158,3283.689,715.391,,,21.818,0.1046,20.4835,0.0540,1.2695,-2.4180,11.783530260511933,-20.91847145199203,11.309288064075806
2875,5000165,3570.077,748.617,,,23.028000000000002,0.2723,22.5375,0.3212,1.3640,-2.3225,11.769903875354407,-20.91699492087162,14.054980489118764
2902,5000167,3111.794,752.798,,,22.111,0.1166,21.9955,0.1907,1.2355,-1.7335,11.791708889812966,-20.916808311675734,10.053899727880795
3008,5000173,2586.563,774.531,,,21.613,0.0890,20.5025,0.0526,1.2755,-1.4930,11.816698994463986,-20.91583810139591,10.648837290634972
3066,102460,2835.201,784.721,17.868000000000002,0.0084,17.339,0.0173,17.049500000000002,0.0124,1.7583,-0.1640,11.80486884010791,-20.915387707820877,9.48904260913374
3104,5000176,3091.472,792.400,,,22.503,0.1870,22.1795,0.2088,1.2210,-1.5260,11.79267559548502,-20.91504813735784,9.839417678276096
3159,5000177,3609.316,802.735,,,22.588,0.2103,22.206500000000002,0.2303,1.4495,1.9900,11.768036994107646,-20.91458963377992,14.357256063036955
3224,5000181,3278.046,813.257,,,22.798000000000002,0.2624,22.3305,0.2145,1.3695,-3.3885,11.78379849110661,-20.914121871448895,10.971242605003821
3288,5000183,2615.710,823.401,,,22.490000000000002,0.2114,21.8585,0.1856,1.2680,-2.5165,11.815311610271431,-20.913666452636072,10.35774287496008
3479,102738,2590.964,862.050,16.616999999999997,0.0041,16.047,0.0190,15.8095,0.0047,2.0793,0.2163,11.816488518167956,-20.911948449415643,10.461302970236623
3499,5000188,2854.072,864.826,,,22.380000000000003,0.1543,21.8645,0.1344,1.2385,-3.0160,11.803970278005382,-20.911827668488122,9.25438589555646
3594,5000191,2560.637,880.720,,,22.526,0.1849,22.0065,0.1898,1.3710,-1.8740,11.817931185168689,-20.911118320070095,10.659657298608339
3602,5000192,2140.337,883.292,,,21.721,0.1040,20.1575,0.0518,1.2595,-1.6630,11.83792815285764,-20.910997803463882,15.045352723101866
3618,5000193,4381.611,885.693,,,22.879,0.2555,21.0055,0.0825,1.4405,-1.1760,11.731292965119403,-20.910897308524614,24.47083602004455
3623,102837,404.988,886.533,17.406,0.0056,,,17.4395,0.0169,1.3110,-0.1780,11.920492095384798,-20.9108034979594,39.81866602599129
3686,102879,4205.449,897.335,17.091,0.0052,16.507,0.0186,16.314500000000002,0.0087,2.0477,0.3013,11.739674504109564,-20.910381797612015,21.943350379889218
3710,102899,3800.521,901.686,17.266,0.0062,16.803,0.0252,16.5545,0.0121,2.5283,-0.1877,11.758940090168892,-20.91019125601754,16.449060175366107
3822,5000198,4030.851,921.853,,,22.487000000000002,0.2163,22.2305,0.3034,1.4690,0.0655,11.747981676648296,-20.90929360375523,19.462894933363607
3941,5000200,1469.418,936.623,,,23.886000000000003,0.6323,22.9555,0.4390,1.4855,-1.9890,11.869847555516321,-20.90861282791057,24.119526572191564
4196,5000203,3013.630,974.246,,,22.588,0.1806,21.5135,0.1154,1.2025,-3.2165,11.796378092098008,-20.906965722149707,9.03239212348132
4227,5000205,2453.198,979.241,,,22.386000000000003,0.1856,21.8655,0.1581,1.4740,-1.9830,11.823041509862863,-20.906738276149646,11.465905250411206
4556,5000209,3175.827,1024.201,,,22.225,0.1505,22.1475,0.2042,1.2740,-2.4205,11.788661089691267,-20.90474631977314,9.601374279451724
4571,103524,2990.716,1026.223,20.067999999999998,0.0097,19.401,0.0260,19.1675,0.0209,0.9373,-0.3940,11.797467914322011,-20.904655507375995,8.835240646258859
4803,103693,1913.646,1059.367,17.982,0.0059,17.675,0.0201,17.7565,0.0113,1.3960,0.2270,11.848709792868224,-20.903167994673744,17.913540991966915
4891,5000214,2554.440,1069.875,,,22.304000000000002,0.1612,22.3775,0.2634,1.3635,-3.2095,11.818223597108636,-20.90271141649554,10.409878753397358
4992,5000218,2617.214,1083.145,,,22.242,0.1396,20.6075,0.0600,1.1860,-2.1900,11.815236944925617,-20.90212237469401,9.881469229055563
5000,5000219,3025.171,1083.706,,,22.154,0.1347,21.9435,0.1707,1.2085,-1.6420,11.795828325583582,-20.902100934519936,8.746441980284363
5002,5000220,4325.184,1084.020,,,20.922,0.0961,20.6245,0.0864,1.4440,2.4640,11.733980014047365,-20.90208349283275,23.220772814787598
5014,3172,2710.505,1084.783,18.012999999999998,0.0052,17.311,0.0151,16.9805,0.0069,1.1413,0.0723,11.810798594732928,-20.902050567200355,9.259863841750692
5022,5000221,2624.668,1086.151,,,22.831,0.2343,22.2895,0.2158,1.2780,-2.8865,11.814882284181845,-20.901988859057496,9.820489371220228
5059,5000222,2067.522,1090.581,,,22.435000000000002,0.2094,22.2475,0.2394,1.4985,-1.5285,11.84138846304492,-20.901783716130748,15.86440925624294
5134,5000224,2901.421,1101.581,,,22.618000000000002,0.2294,22.4625,0.3142,1.0445,1.0805,11.801715607589605,-20.901305667190325,8.585012687069792
5160,5000225,2432.663,1104.452,,,22.894000000000002,0.2697,22.7965,0.4030,1.4295,-3.5840,11.824016673913013,-20.90117310328203,11.52125575395653
5198,5000226,2660.047,1108.792,,,22.286,0.1452,21.9715,0.1737,1.1940,-0.6625,11.81319886748354,-20.900982985230268,9.528028496079665
5211,104007,4807.518,1110.478,17.146,0.0082,16.622,0.0320,16.4285,0.0099,3.3240,0.1757,11.71103341436897,-20.90090063699788,30.213508834404777
5240,5000229,3100.462,1113.587,,,22.671,0.2394,22.9725,0.3234,1.2240,0.0745,11.792246189602565,-20.900773303695658,8.927335969600234
5261,5000231,2084.226,1115.706,,,22.403000000000002,0.1459,22.1155,0.1898,1.2375,-2.3795,11.840593282310033,-20.90066736420471,15.638462002711643
5374,5000233,2697.205,1128.861,,,23.251,0.2994,22.4575,0.2590,1.2510,0.1365,11.811430866050381,-20.90009142332682,9.249792933001263
5503,5000235,2305.675,1142.148,,,21.536,0.0972,20.2605,0.0505,1.4060,-0.9360,11.830057490787373,-20.899495893788743,12.886014830841061
5525,5000236,2442.352,1143.953,,,22.718,0.2262,22.2495,0.2733,1.4730,-2.9680,11.823555152231888,-20.89941764678559,11.376332013748378
5726,104371,3019.926,1164.840,19.848,0.0098,18.973000000000003,0.0198,18.6615,0.0155,0.8770,-0.3930,11.79607734431515,-20.898494970736067,8.500082453782618
5830,5000242,3204.161,1174.178,,,22.678,0.2500,22.1795,0.2563,1.4140,-4.9010,11.787312510314184,-20.898080822812613,9.336334243837396
5860,5000243,2562.593,1176.703,,,23.039,0.2666,22.2645,0.2620,1.2275,-3.0460,11.81783435613489,-20.897963634415408,10.178888953482605
5905,5000245,3056.947,1181.594,,,22.584,0.2042,22.8125,0.2977,1.1610,-2.8200,11.79431600945981,-20.897750564116823,8.556477714984402
5928,5000246,2502.603,1184.544,,,21.372,0.0837,19.8525,0.0367,1.2500,-1.3985,11.820688203629594,-20.897614406310886,10.723398789133247
5933,104515,3251.816,1184.833,18.741999999999997,0.0076,18.193,0.0166,17.4735,0.0084,0.8320,-0.0907,11.785045343873447,-20.89760742287906,9.652156118799724
5944,5000247,2758.427,1185.945,,,22.218,0.1610,22.0745,0.1711,1.1860,-1.7945,11.808517689718185,-20.897554972023,8.795408124761387
5947,5000248,1977.027,1186.061,,,22.729000000000003,0.1951,22.1335,0.2318,1.3140,-1.4710,11.845691764283924,-20.897538463408637,17.036096927253677
5952,5000249,2583.034,1186.599,,,22.321,0.1589,22.1205,0.2489,1.1800,0.0625,11.816861776409906,-20.897524056776327,9.98726869548361
5998,104553,2860.762,1190.641,19.207,0.0074,18.515,0.0162,18.2125,0.0117,0.8667,-0.1083,11.803649193787235,-20.897347153814625,8.418667287515207
6033,104578,2886.154,1193.631,17.932000000000002,0.0050,17.101,0.0141,16.746499999999997,0.0061,1.0830,0.0460,11.80244117920137,-20.897214465624117,8.363902936741928
6052,5000253,2611.234,1195.981,,,22.504,0.1877,21.8775,0.1588,1.3130,-2.5955,11.815520085311011,-20.897107406167745,9.739261096797488
6079,104606,2845.698,1199.005,19.652,0.0090,18.965,0.0210,18.6505,0.0162,0.9370,-0.3893,11.804365769940798,-20.896975300156786,8.434700984096834
6081,104608,2882.987,1199.097,19.121000000000002,0.0080,18.401,0.0202,18.0715,0.0120,0.9287,0.0373,11.802591799781517,-20.896971509302436,8.3548723438059
6085,104607,2876.174,1199.404,20.098,0.0114,19.329,0.0268,19.1435,0.0202,0.9050,0.0530,11.802915915685649,-20.896957811858716,8.3657347825146
6108,104620,2813.078,1202.446,19.792,0.0092,19.089000000000002,0.0239,18.8485,0.0175,0.9590,0.0197,11.80591758676117,-20.896822092052645,8.527648675860242
6207,5000259,2961.239,1213.754,,,23.351000000000003,0.3209,22.6755,0.2530,1.3130,-1.8575,11.798868971056049,-20.896320656879176,8.27577759134262
6228,5000261,2973.368,1215.723,,,22.168000000000003,0.1262,21.7455,0.1711,1.3480,-0.9460,11.798291940425264,-20.896233226784855,8.279629559457243
6229,104721,2881.285,1215.740,19.894,0.0110,19.654,0.0302,19.5385,0.0273,1.0010,0.3050,11.802672632415357,-20.896231811682988,8.315336750233833
6279,5000262,3265.026,1221.224,,,22.486,0.1787,22.331500000000002,0.2319,1.1350,-2.4290,11.784416789577906,-20.895990091790132,9.647440778223602
6333,104794,1731.084,1226.308,18.945999999999998,0.0083,18.852,0.0280,18.9715,0.0248,1.3153,-0.3430,11.857391187035747,-20.895744484031674,20.437971330538772
6356,104810,2626.044,1228.732,18.320999999999998,0.0061,17.789,0.0165,17.0915,0.0077,0.9030,0.1353,11.81481513322783,-20.89565198138524,9.567602644633505
6403,5000267,3014.093,1232.539,,,23.049,0.2074,22.5555,0.2585,1.2555,-3.4275,11.796354410036248,-20.895486109544557,8.293542063228426
6549,104947,2497.608,1246.612,18.147999999999996,0.0056,17.478,0.0193,17.2345,0.0077,1.3627,0.0907,11.820924988111507,-20.89485578183042,10.69465555188811
6789,5000277,2794.603,1270.497,,,22.425,0.1762,21.767500000000002,0.1259,1.1600,-1.3170,11.806795861962431,-20.893797458876012,8.444408112863133
6837,5000278,3434.473,1274.449,,,22.560000000000002,0.1764,22.4465,0.2309,1.2240,-2.2910,11.77635562061734,-20.89362482143649,11.07737630265825
6871,105175,2807.558,1277.120,18.533,0.0060,17.736,0.0161,17.4345,0.0090,1.1070,-0.0963,11.806179498310135,-20.89350321934046,8.376269392505527
6901,105201,2843.800,1279.095,20.214,0.0110,20.259,0.0371,20.1575,0.0362,0.8390,0.2493,11.804455360731165,-20.89341575010221,8.246295581469353
6908,5000279,2826.153,1280.229,,,22.453,0.1733,22.0565,0.1579,1.1370,-2.0740,11.805294860783217,-20.89336520256792,8.300258632374282
7074,5000281,2566.919,1297.263,,,23.027,0.2349,20.6855,0.0487,1.2085,0.7045,11.817627025060657,-20.892605496504792,9.966137502233003
7111,105354,491.318,1300.668,16.273,0.0075,15.568000000000001,0.0194,15.0395,0.0072,3.3907,0.2460,11.91636744056382,-20.892401109560033,38.79895216168251
7162,5000282,2026.208,1305.980,,,21.928,0.1231,21.7235,0.1353,1.1960,-2.2155,11.843349618144698,-20.892209716298638,16.351497585383193
7178,105407,2651.798,1307.776,19.908,0.0111,19.244,0.0234,18.9175,0.0180,0.9207,-0.1433,11.81358902847767,-20.892139217775814,9.234808311257485
7189,5000283,2048.215,1308.704,,,23.148,0.2858,22.4465,0.2296,1.2605,-5.6420,11.84230264734803,-20.892089065760764,16.05546400622328
7325,5000284,2763.558,1321.643,,,22.349,0.1571,21.8045,0.1758,1.2735,-2.5025,11.808272244183735,-20.89152403353337,8.481196516065049
7328,5000285,2919.354,1321.937,,,22.261000000000003,0.1475,22.5845,0.2400,1.1265,-2.9335,11.80086074368468,-20.891512258610213,7.991267411899321
7392,5000286,3489.851,1327.269,,,22.522000000000002,0.1839,22.8015,0.3463,1.1910,-4.1790,11.773721164999111,-20.89127728578547,11.528625908986323
7409,105582,2631.271,1328.864,18.003999999999998,0.0054,17.562,0.0169,17.2885,0.0078,1.2117,0.0650,11.814565290843898,-20.891201754534794,9.362277952567595
7506,5000289,3090.934,1338.072,,,21.867,0.1027,21.6055,0.1309,1.2315,-2.2450,11.792698285699409,-20.890796204411576,8.222373647530148
7544,5000290,2025.854,1341.735,,,22.217000000000002,0.1455,22.1115,0.1553,1.2340,-3.2100,11.843365735060543,-20.890620608330053,16.349955107556074
7582,5000293,3353.829,1345.062,,,21.78,0.0918,21.6835,0.1269,1.1480,-1.1205,11.78019193993028,-20.890486401213558,10.061443701104242
7591,105710,2942.597,1346.299,19.357,0.0075,19.354000000000003,0.0238,19.1725,0.0207,0.8557,-0.0410,11.79975485167181,-20.890429674391438,7.912879413930216
7602,5000294,2856.010,1347.121,,,22.326,0.1522,22.2625,0.1912,1.1000,-3.0930,11.80387391550544,-20.890392489335827,8.047054367283577
7753,5000296,2517.636,1360.672,,,22.468,0.2177,22.5205,0.2841,1.3420,-1.7465,11.819970676133586,-20.889786732394494,10.355957230088574
7793,105847,2915.596,1363.691,20.194000000000003,0.0105,20.306,0.0347,20.1795,0.0356,0.8337,0.0477,11.801039193638438,-20.88965650814781,7.886197069049061
7807,5000298,2611.276,1365.419,,,22.428,0.1600,21.9595,0.1542,1.2130,-2.5315,11.815516046836754,-20.889576873369833,9.472864429739069
7918,105948,3581.270,1377.188,15.892,0.0053,15.876999999999999,0.0273,15.0915,0.0051,2.7503,0.3923,11.769372280120484,-20.889058598474634,12.452063201150755
7990,5000302,2521.948,1382.055,,,21.87,0.1046,20.6435,0.0544,1.1910,-1.2900,11.819765264682577,-20.88883643619048,10.286924450541534
8028,106008,2987.349,1385.577,18.104999999999997,0.0048,17.271,0.0150,16.945500000000003,0.0066,1.1070,0.0367,11.797625666925573,-20.888684293245372,7.82124966570842
8058,106035,3045.636,1388.170,20.436,0.0128,19.542,0.0240,18.7175,0.0170,0.8990,-0.2277,11.794852884983785,-20.888569398354925,7.9220336218326795
8072,5000304,2174.411,1388.813,,,20.984,0.0607,19.9925,0.0477,1.2215,-1.4585,11.836297803417745,-20.88853094588643,14.36728082269183
8126,5000305,1542.383,1394.150,,,22.934,0.3480,22.6635,0.3417,1.4725,-2.5275,11.866363736704587,-20.888280333565202,23.184989097980726
8127,5000306,3104.452,1394.258,,,23.331,0.2729,23.2215,0.5290,1.1590,1.2030,11.79205492423947,-20.88829912880584,8.113235044170878
8188,5000307,2907.287,1398.894,,,23.046,0.2472,22.1055,0.1747,1.0485,-1.0340,11.801434184940891,-20.88809187758616,7.806353715166146
8197,5000308,2947.951,1399.353,,,23.012,0.2554,22.4085,0.2892,1.0990,-4.0255,11.799499765195936,-20.888071768672916,7.769338186707307
8350,5000310,2712.595,1413.807,,,22.582,0.1933,23.1795,0.3873,1.2180,-2.6870,11.810695667197386,-20.887427386579766,8.606331452125074
