,ID,X,Y,J,J_err,K,K_err,chi,sharp,ra,dec
3,3,3729.571,56.505,,0.5673,25.035,0.2173,0.0410,5.9720,204.95673978616557,-31.789903437111473
5,90005,3755.536,57.554,,0.2095,20.104,0.1340,0.0300,5.7655,204.9553821590595,-31.78985604986817
8,90003,3516.988,58.100,,0.3017,24.5,0.2181,0.0505,6.7110,204.96785542212356,-31.789838273324172
11,90013,3531.485,58.399,,0.3079,24.466,0.1828,0.0510,6.2115,204.96709740875005,-31.789824624828704
12,90015,3739.276,58.420,,0.2892,25.032,0.1670,0.0405,5.9635,204.95623239494046,-31.789818042256297
13,90009,3154.717,58.454,,1.1462,24.6,0.1697,0.0465,5.9810,204.98679793590745,-31.78983007067185
14,90010,3360.981,58.914,,0.3740,24.365,0.2260,0.0550,5.7960,204.97601276986077,-31.789805682526023
15,90012,3433.157,59.065,,0.2146,24.503,0.2027,0.0525,5.9315,204.97223882095963,-31.789797376727197
16,90011,3424.121,59.300,,0.3045,24.439,0.1933,0.0520,5.4645,204.97271130329474,-31.78978713810536
17,20,3863.221,59.419,,0.2377,25.047,0.3022,0.0400,6.9910,204.94975157567728,-31.78976983361288
19,90026,3671.741,59.728,,0.2995,24.816,0.2397,0.0460,6.1345,204.9597637198925,-31.7897618466408
20,90025,3659.977,59.876,,0.4369,24.733999999999998,0.1947,0.0460,5.9830,204.96037884249216,-31.789755596402436
21,90024,3489.380,59.948,,0.2309,23.985,0.1815,0.0685,5.2115,204.96929904707318,-31.789756813193105
25,90021,3185.949,60.219,,0.2578,24.483999999999998,0.2006,0.0520,6.5515,204.98516490635328,-31.7897510880177
27,90032,3112.250,60.792,,0.3135,24.291,0.1941,0.0570,5.1565,204.9890185040122,-31.78972685942835
42,11,3556.322,61.881,,0.2324,24.199,0.2133,0.0600,5.1615,204.9657988308317,-31.78966924371577
43,90002,3477.882,61.901,,0.3473,23.676,0.1658,0.0850,6.1110,204.96990031088222,-31.7896702891433
60,90140,3449.548,63.024,,0.3751,23.933,0.2688,0.1125,5.5555,204.97138187292208,-31.789621044783395
61,90042,3549.250,63.063,,0.2360,23.918,0.3714,0.1525,6.8290,204.9661686474319,-31.789616890555568
63,90052,3171.646,63.357,,0.3042,24.228,0.2096,0.0605,6.0930,204.98591284774756,-31.78961187165514
69,90067,3159.052,63.714,,0.3455,24.009,0.1701,0.0655,6.2200,204.9865713712543,-31.789596221009177
75,90097,3429.843,63.961,,0.2452,23.915,0.2482,0.1100,4.8095,204.97241223477363,-31.789579853969514
76,90069,3463.767,63.968,,0.2393,23.45,0.2714,0.2740,3.8295,204.9706384145939,-31.78957875726153
