,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec
21,5000012,4026.422,-60.601,,,18.599,0.0091,17.0875,0.0122,0.8775,-0.0965,359.37803908822275,-32.738960624396285
287,202211,4021.735,54.408,25.125,0.1766,,0.1366,,,0.0560,7.6725,359.37829171097627,-32.73384932431965
299,1963,3023.824,56.418,25.79,0.2177,,0.2272,,,0.0400,7.9595,359.43101627011197,-32.73378538610964
311,1991,2872.851,60.211,25.886000000000003,0.2159,,0.1722,,,0.0450,7.4730,359.43899296191495,-32.733618729364714
314,202319,3210.721,62.030,26.290999999999997,0.2682,,0.2136,,,0.0400,8.0305,359.421141712266,-32.73353288904018
320,202517,2657.333,63.130,26.427,0.2821,,0.2781,,,0.0300,7.4430,359.4503798341452,-32.73349086239781
321,202278,2644.103,63.676,26.326999999999998,0.2685,,0.2777,,,0.0300,7.3660,359.45107884145483,-32.7334666768713
325,202332,1995.975,64.922,26.351,0.2703,,0.2071,26.0955,0.2704,0.0267,9.3317,359.4853224872671,-32.73341051720607
330,202355,2731.784,65.719,25.633000000000003,0.2122,,0.2325,,,0.0400,7.6305,359.4464462602,-32.733375268392656
333,202350,2130.285,66.222,25.741999999999997,0.2948,,0.1249,,,0.0510,6.4030,359.4782262531155,-32.733353666580605
345,2118,1437.932,69.718,26.468000000000004,0.2828,,0.2465,,,0.0300,7.2590,359.5148063834953,-32.73318923125941
348,202607,762.010,70.772,24.972,0.1701,,0.2897,,,0.0550,7.7230,359.5505183286541,-32.73312329584922
487,3653,2226.883,124.772,26.192,0.2583,,0.2731,21.2125,0.2044,0.3900,6.9650,359.4731223049721,-32.730751879969574
488,3812,2218.219,124.927,26.292,0.2672,,0.2993,21.0225,0.1754,0.3900,6.5160,359.4735800504231,-32.73074496195083
509,3946,2291.940,133.021,26.336,0.2779,,,25.0795,0.2182,0.0400,8.0955,359.46968512327436,-32.73038542589259
567,205089,3534.680,151.278,18.357999999999997,0.0885,18.784000000000002,0.0089,18.4605,0.0169,2.1983,-0.1400,359.4040281479438,-32.72955917158989
611,5000376,3320.953,159.226,,,22.746000000000002,0.0490,20.6645,0.0823,0.7230,1.3440,359.41532004884414,-32.72921091764082
