,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec
296,5000060,3527.494,-2081.63,21.363,0.2240,,,21.229499999999998,0.2772,1.6950,1.2705,152.6890829365713,-4.835543468142166
356,5000157,2103.566,-2045.71,21.977999999999998,0.2715,,,21.1905,0.2932,1.7400,2.0005,152.75259427782927,-4.833949249345932
480,5000340,1181.333,-1987.06,20.137999999999998,0.1461,,,19.9015,0.0698,1.9900,0.5170,152.7937282953077,-4.831340887782434
495,5000370,2022.379,-1978.76,22.177999999999997,0.2704,,,21.543499999999998,0.2980,1.2950,1.0010,152.7562153993055,-4.830973674743134
515,5000409,3090.268,-1960.15,21.287,0.1995,,,21.1225,0.1493,1.6040,3.6710,152.70858476470622,-4.830145725495765
570,5000491,2156.041,-1929.23,22.029,0.1923,,,21.2315,0.2540,1.2100,0.8295,152.7502537019463,-4.828772441191017
572,5000494,3101.596,-1928.69,21.615,0.2327,,,21.3925,0.2409,1.4700,-1.8130,152.7080795789189,-4.828747491879172
884,5000759,1859.325,-1845.13,22.057,0.1669,,,21.3035,0.1526,1.0425,-0.5515,152.76348788019425,-4.825034464165281
963,5000840,3689.542,-1817.63,22.519,0.2198,,,21.5515,0.2668,0.9500,-0.2865,152.68185616932007,-4.8238096430541955
1032,5000919,1021.891,-1788.44,20.947,0.2771,,,21.4065,0.2552,2.1650,2.8945,152.8008391248026,-4.822512880062989
1083,5000986,3666.115,-1762.60,17.647999999999996,0.0170,18.204,0.0086,17.4025,0.0122,0.8673,-0.3137,152.68290127749106,-4.821363986245757
1111,5001016,2421.065,-1752.78,22.939999999999998,0.2934,,,21.4045,0.2877,1.0350,-2.5685,152.73843303351947,-4.82093029621285
1187,5001107,2979.590,-1721.20,22.349,0.1780,,,21.4145,0.2550,0.9600,-0.3040,152.71352175651774,-4.819526078474231
1195,5001116,1288.619,-1718.33,21.993,0.1624,,,21.354499999999998,0.1844,0.9100,-0.9955,152.78894230438056,-4.819397787409477
1202,5001130,4272.849,-1714.47,18.4,0.0156,19.062,0.0092,18.2795,0.0445,0.9533,0.0170,152.65584001638578,-4.819221924888249
1222,5001156,4359.319,-1701.16,18.386999999999997,0.0144,18.923000000000002,0.0096,18.0655,0.0748,1.4433,-0.9327,152.6519833765074,-4.818629865072504
1327,5001265,3347.331,-1654.23,22.648,0.2963,,,20.9405,0.1348,1.1925,4.3145,152.69712000654758,-4.816548723350782
1362,5001307,1830.270,-1636.45,22.163999999999998,0.1456,,,21.2435,0.1572,0.9970,-0.2175,152.76478353319337,-4.815759851833363
1399,5001353,1714.888,-1619.76,22.555,0.2032,,,21.5375,0.2618,0.9050,3.3410,152.76992973794455,-4.815017909603667
1448,5001413,2609.114,-1594.37,22.532,0.2098,,,21.4705,0.2366,0.9050,0.2320,152.73004581373468,-4.813889792350149
1485,5001458,1180.231,-1579.88,22.877,0.2920,,,21.5575,0.2810,0.9750,0.1255,152.79377618480433,-4.813244183260888
1571,5001537,1281.809,-1547.10,22.983999999999998,0.2920,,,21.5345,0.2534,0.9000,2.0810,152.7892455611852,-4.811787618366413
1734,5001739,4051.971,-1465.42,22.718,0.2610,,,21.4865,0.2505,0.9500,-2.6145,152.6656928128703,-4.808154352959697
1763,5001765,974.098,-1456.95,21.067999999999998,0.1717,,,21.4955,0.2489,1.4550,0.5220,152.80296957181662,-4.807779956168102
1815,5001813,985.893,-1438.90,14.092999999999998,0.0489,,,12.8355,0.0059,7.3720,0.2580,152.80244343554423,-4.806977785715206
1833,5001826,980.278,-1434.41,19.430999999999997,0.2036,,,18.9415,0.2310,2.4700,0.8335,152.80269385421903,-4.806778210756377
1881,5001885,1252.377,-1415.41,22.712999999999997,0.2674,,,21.6735,0.2742,0.9300,-2.6390,152.7905578882812,-4.8059346947167105
1894,5001901,4574.241,-1408.03,18.055,0.0129,18.621000000000002,0.0087,,,0.6100,-0.1520,152.64239936657603,-4.80560063855925
1901,5001914,1288.150,-1404.40,22.339,0.1623,,,21.2135,0.1574,1.0080,1.8195,152.78896234441268,-4.805445470685693
1913,5001930,4172.295,-1398.57,18.540999999999997,0.0182,19.080000000000002,0.0104,18.3535,0.0486,1.0263,-0.0143,152.6603265823614,-4.805182631995015
1925,5001940,3854.646,-1393.65,22.708,0.2423,,,20.9815,0.1720,0.9400,0.9330,152.67449404843381,-4.8049655594040255
1932,5001948,1750.425,-1392.15,22.304,0.1803,,,20.9245,0.1813,1.0750,1.8385,152.7683443884513,-4.804902055317504
2001,5002051,1973.668,-1349.32,22.127,0.1565,,,21.0195,0.1227,1.0085,1.4855,152.7583874902297,-4.802998788185966
2215,5002252,4136.064,-1291.57,22.33,0.1415,,,21.3135,0.2608,0.9300,1.4545,152.66194307527394,-4.800427315657869
2338,5002318,2369.875,-1266.45,22.814999999999998,0.2513,,,21.0445,0.2272,1.0550,1.9525,152.74071632809324,-4.799315834651883
2353,5002332,4665.363,-1262.06,17.677999999999997,0.0120,18.183,0.0082,,,0.7000,-0.1105,152.63833621973873,-4.79911252868099
2433,5002415,3099.471,-1231.89,22.410999999999998,0.2448,,,21.107499999999998,0.1983,1.0700,-2.1465,152.708175955509,-4.797778894808401
2442,5002425,3287.628,-1229.01,21.302,0.1925,,,21.4405,0.2697,1.5350,0.8340,152.6997840614103,-4.7976504005938665
2486,5000874,505.704,-1207.05,,,16.476,0.0090,15.8535,0.0098,1.2300,-0.4305,152.82385922103907,-4.7966712908760005
2508,5002518,2007.064,-1198.22,22.508,0.2102,,,21.5685,0.2714,0.9400,-1.0005,152.75689788163922,-4.796283312650425
2511,5002521,4226.010,-1196.06,17.003999999999998,0.0124,17.459000000000003,0.0074,16.9455,0.0349,1.7223,-0.0357,152.65793194856008,-4.796181969580861
2929,5002993,1483.921,-1017.77,23.005,0.2955,,,21.3035,0.2118,0.8900,-0.6965,152.7802298897963,-4.788262555156814
2949,5003021,3691.101,-1005.44,22.445,0.2153,,,21.5865,0.2995,1.1500,3.8050,152.68178984504613,-4.787712624498161
2971,5003055,3252.896,-985.795,21.479999999999997,0.2261,,,21.4035,0.2434,1.5250,0.8820,152.70133378862607,-4.786841022534475
3018,5003109,2679.753,-968.390,22.826999999999998,0.2290,,,21.4595,0.1672,0.9155,1.4310,152.72689589944568,-4.786068601018136
3153,5003275,4307.591,-914.265,22.467,0.2516,,,20.5805,0.2104,1.3850,2.2270,152.65429500949443,-4.78365737958149
3179,5003313,1432.106,-901.236,22.552999999999997,0.1943,,,21.5975,0.2772,0.8850,-3.0450,152.78254055651163,-4.7830831768117585
3228,5003388,2846.097,-873.062,22.575999999999997,0.1894,,,21.3905,0.2842,0.9750,0.5520,152.71947713957857,-4.78183159781959
3289,5003462,2928.321,-844.639,22.078,0.1566,,,21.2455,0.1320,1.0215,-1.8035,152.71581003875932,-4.780568218052177
3433,5003628,2376.596,-784.873,22.877,0.2634,,,21.1795,0.2349,1.0150,-0.4575,152.74041669238187,-4.777912552965444
3446,5003645,3486.594,-775.345,17.357999999999997,0.0243,17.874000000000002,0.0074,17.0515,0.0111,1.0893,-0.5690,152.69091160831434,-4.777487017516026
3447,5003646,2802.288,-775.152,22.587,0.2241,,,21.2445,0.1685,1.0860,0.8090,152.7214311432898,-4.7774801363357415
3449,5003648,1509.875,-774.962,22.253,0.1401,,,21.4645,0.2430,0.8250,1.2835,152.77907181506532,-4.777471215587803
3469,5003673,1826.832,-763.236,22.563,0.1911,,,21.7245,0.2925,0.8600,0.5230,152.7649357523582,-4.776950625252829
3534,5003751,1070.119,-729.030,22.041999999999998,0.2478,,,20.5095,0.0913,1.3005,0.3070,152.79868444329435,-4.775428546193357
3554,5003773,2898.438,-719.307,23.052,0.2790,,,21.5355,0.2909,1.0550,0.0915,152.71714302060496,-4.774997993531841
3768,5004050,3665.630,-597.826,18.037,0.0252,18.584,0.0086,17.8395,0.0375,1.3700,-0.2830,152.68292743016863,-4.7695966643915835
3903,5001046,337.763,-550.372,,,16.535,0.0081,15.548499999999999,0.0098,1.3330,-0.3035,152.83134586512654,-4.767484908151794
3908,5004210,4656.966,-548.489,15.518999999999998,0.0103,16.145000000000003,0.0081,,,1.6550,-0.0335,152.6387154865035,-4.767398570060723
3975,5004303,4841.591,-521.421,17.391,0.0116,17.926000000000002,0.0072,,,0.7200,-0.0545,152.63048168843696,-4.76619424735397
3992,5004323,3190.551,-515.180,21.977,0.2882,,,21.4745,0.2657,1.4200,0.0050,152.7041155640012,-4.765925091223542
4113,5004464,1250.495,-474.809,22.576999999999998,0.2084,,,21.5615,0.2679,1.0350,-1.2835,152.79063909671035,-4.764130479566647
4133,5004487,3553.963,-469.173,16.680999999999997,0.0268,17.267000000000003,0.0071,16.4315,0.0266,2.1763,-0.4557,152.68790809496647,-4.763879209462087
4200,5004566,1893.858,-445.159,22.608999999999998,0.2109,,,21.3855,0.2801,1.1550,1.9175,152.76194609561412,-4.762814023702874
4215,5004590,1476.455,-439.729,22.766,0.2349,,,21.2145,0.2256,0.9250,2.8420,152.7805615616952,-4.762571973508882
4302,5004683,1557.628,-411.510,17.316,0.0535,17.676000000000002,0.0092,16.7325,0.0124,2.2400,-1.1993,152.77694132526727,-4.761317980334584
4353,5004735,4767.157,-396.885,17.022999999999996,0.0127,17.536,0.0074,,,0.9350,-0.1975,152.63380219336995,-4.7606598888727065
4358,5001119,824.925,-395.387,,,17.168,0.0092,16.3955,0.0092,0.9875,-0.3985,152.80961850590054,-4.760599107077229
4457,5004843,1154.824,-373.943,22.368,0.2344,,,21.5525,0.2640,1.1650,-0.4390,152.79490554991017,-4.759647270660542
4505,5004904,2906.211,-356.816,22.192,0.1630,,,21.6635,0.2814,0.9150,-3.3550,152.71679698531037,-4.7588873483533325
