,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec
9,5000007,4000.787,-98.467,,,15.1415,0.0087,16.178,0.1697,3.8650,-2.4250,149.90727166398653,5.177739746681859
197,303739,3478.334,65.733,21.028,0.2314,,,20.323,0.2508,2.5250,1.2835,149.9305862900728,5.185039522263603
198,3382,3357.351,65.767,21.582,0.2911,,0.1897,,,1.1250,-0.8360,149.93598538295637,5.185041388135159
200,303810,3273.064,69.513,19.976,0.1159,,,19.626,0.1079,2.2350,0.1850,149.93974683902758,5.1852080958982905
206,303837,2812.636,72.650,19.954,0.1365,,,19.863,0.1895,2.6000,2.5310,149.96029430998803,5.185348327162164
209,303973,1485.801,75.487,20.131,0.1584,,,19.115000000000002,0.1107,2.6350,1.7485,150.01950686826757,5.185473039910094
211,3616,1476.804,75.864,20.814999999999998,0.2154,,,20.504,0.2572,2.4650,-0.5170,150.0199083777229,5.185489767214589
212,303970,1452.447,75.940,20.687,0.1709,,,19.629,0.1622,2.5850,0.0350,150.0209953554197,5.185493067551677
213,3618,1690.368,75.971,21.338,0.2344,,,20.593,0.2882,2.3100,0.6110,150.0103776770731,5.185495122033648
231,304471,2062.113,95.318,20.724999999999998,0.2046,,,20.252000000000002,0.1920,2.4400,-0.7200,149.99378786896335,5.186355685351237
244,5000211,3131.953,106.020,,,15.2735,0.0079,14.841000000000001,0.0162,2.5000,-0.1820,149.94604410788193,5.186830936260156
256,5038,2336.593,112.413,20.939999999999998,0.2605,,,19.94,0.1156,2.6980,-0.6355,149.98153866064345,5.1871156992661795
268,5032,1321.126,117.805,21.428,0.2680,,,20.916,0.2391,1.9000,0.9155,150.02685596119065,5.187353270964526
269,4959,1316.233,117.825,21.305,0.2583,,,20.662000000000003,0.1968,1.9300,-0.7785,150.02707432131743,5.187354142054418
289,305843,2022.836,123.218,21.021,0.1985,,,20.722,0.2178,2.0000,0.4065,149.99554072444022,5.187595622751327
313,5553,474.106,133.791,20.951999999999998,0.2105,,,20.315,0.2071,2.2300,3.5385,150.06465602290663,5.188059557788932
315,306023,1834.579,135.008,21.031,0.1987,,,20.398,0.1328,2.1265,-0.0730,150.00394210822174,5.188119293918857
319,306297,478.850,136.268,20.907,0.2159,,,19.777,0.2122,2.5850,0.8690,150.06444432841448,5.188169675544099
355,306716,3643.557,154.621,21.264,0.1962,,,21.002000000000002,0.1943,1.5880,0.1200,149.92321257118178,5.1889895122939835
365,307510,1837.043,160.512,21.320999999999998,0.2395,,,20.329,0.1529,1.8400,0.2495,150.00383220009743,5.189252802099225
399,7058,447.505,168.077,20.641,0.1967,,,20.379,0.2765,2.5000,-0.3525,150.06584337133347,5.189583199510444
467,307959,885.690,186.898,21.713,0.2752,,,20.698,0.2242,1.8350,4.1290,150.04628852580024,5.1904221708687155
490,7836,3269.837,197.666,22.032,0.2547,,,20.294,0.1548,1.5150,0.3065,149.93989052286156,5.190903752365806
569,9031,3110.268,224.373,21.807,0.2766,,,20.987000000000002,0.2411,1.6500,2.1640,149.94701160367097,5.192091076787591
617,310884,1744.161,250.302,21.974,0.2535,,,21.558,0.2924,1.3200,0.0865,150.0079774766293,5.193243241079792
668,311567,1536.407,260.521,22.101,0.2825,,,21.158,0.1823,1.3895,-2.4120,150.01724904418003,5.193696868858248
676,311647,1296.106,262.046,21.9,0.2446,,,21.529,0.2811,1.2850,0.0065,150.02797308194278,5.1937638447697
705,10800,2136.944,269.201,22.076999999999998,0.2816,,,21.366,0.2602,1.0600,1.1265,149.9904485799813,5.1940838557701605
712,5000350,658.073,272.477,,,14.899500000000002,0.0087,14.206000000000001,0.0111,2.5650,-0.3645,150.0564469417562,5.194224435404865
730,312001,4141.798,279.697,21.524,0.1940,,,21.205000000000002,0.2193,1.3550,0.6695,149.90097683340466,5.1945462015945765
769,5000362,203.760,288.675,,,16.9705,0.0076,16.611,0.0247,1.5300,-0.5590,150.07672189230175,5.194941422606804
805,5000371,3164.726,297.302,,,23.1075,0.1163,19.331,0.0789,1.0075,-0.3095,149.9445811234353,5.195332232401475
897,314189,397.002,341.369,21.328,0.2286,,,20.174,0.1721,2.0000,-0.7875,150.06809834212464,5.197284681099323
899,12882,450.607,341.671,21.462,0.2325,,,20.623,0.1988,1.7900,2.1965,150.0657060776555,5.19729844894847
907,314285,456.916,343.511,21.439999999999998,0.2223,,,21.164,0.2925,1.7300,1.0130,150.06542453367678,5.197380266224838
916,314338,2669.989,346.488,21.594,0.2122,22.4695,0.0833,20.892,0.1044,0.9547,-0.2453,149.96666003804862,5.19751894085649
922,314715,3358.398,347.463,21.567999999999998,0.1540,23.1235,0.1590,20.567,0.0880,0.9043,-1.0247,149.93593785881788,5.19756112175111
927,314486,4093.424,347.994,14.442,0.0146,15.0135,0.0054,14.159,0.0049,2.1433,-0.3623,149.90313528860744,5.197581850841352
929,314548,4230.982,348.465,21.558,0.1887,,,21.141000000000002,0.1977,1.2850,2.2555,149.89699638423065,5.197602058563581
942,314872,4364.925,350.340,22.102,0.2887,,,20.872,0.2826,1.8450,-0.2255,149.89101880186652,5.197684627878161
997,315174,3282.962,376.731,22.188,0.2348,23.395500000000002,0.1919,,,0.7550,-0.8610,149.93930432473974,5.1988621124474665
1021,14142,1624.880,388.826,22.334,0.2789,,,21.269000000000002,0.2740,1.2750,3.8320,150.01330106999015,5.199399526457993
1022,14370,1499.409,388.833,22.012999999999998,0.2205,23.427500000000002,0.1899,21.544,0.1965,0.9210,-0.9973,150.01890057962552,5.19939947608347
1026,316161,2546.629,390.413,22.32,0.2937,22.5705,0.0846,19.87,0.1154,1.0177,-0.7140,149.9721653146014,5.199471200845236
1033,5000430,3375.397,392.293,,,17.7635,0.0071,16.72,0.0149,0.8750,-0.1890,149.935179101321,5.199553506553543
1054,316298,3301.607,398.045,22.262999999999998,0.2755,,,21.342000000000002,0.2112,1.1300,1.0755,149.93847218122528,5.199809348067437
1121,316897,1838.176,423.429,17.673,0.0295,18.0075,0.0075,17.632,0.0138,1.1160,-1.2743,150.00378218366708,5.20093792956557
1136,317051,2004.355,427.808,18.134,0.0182,19.302500000000002,0.0112,17.630000000000003,0.0118,0.6493,-0.1887,149.9963659464938,5.201132842283594
1155,15611,4372.486,431.263,21.759999999999998,0.2434,,,21.031000000000002,0.2213,1.1050,1.4375,149.89068087649673,5.201281135770359
1156,317169,431.211,431.306,22.127,0.2971,,,21.345000000000002,0.2945,1.5050,-3.4465,150.06657227015504,5.201282074041268
1169,15507,4497.962,433.712,21.514,0.1856,,,21.096,0.2504,1.4150,-0.4100,149.88508112065864,5.2013892097265355
1173,15605,3056.593,435.294,13.764,0.0088,,,13.687000000000001,0.0047,2.2400,-0.2890,149.94940658638367,5.201465386429679
1180,317343,431.718,436.090,22.002,0.2780,,,20.831,0.2636,1.6900,-1.5855,150.06654967547635,5.20149469803346
1262,317820,1744.901,454.258,18.044,0.0260,18.7925,0.0091,17.566000000000003,0.0132,0.9350,-0.3813,150.00794493751965,5.202307897624264
1314,318195,460.750,467.449,21.966,0.2840,,,21.336000000000002,0.2552,1.5000,0.5285,150.0652542407332,5.202888607092065
1342,318452,1895.718,474.764,21.969,0.2060,,,21.394000000000002,0.2218,1.0950,1.4015,150.00121429387957,5.20321958271925
1364,16692,3592.250,479.276,22.084,0.2468,,,21.663,0.2881,1.1850,0.8510,149.92550108900411,5.203418711491059
1367,318613,2986.950,479.645,14.647,0.0181,15.2285,0.0083,14.416,0.0048,2.5067,-0.6323,149.95251454740009,5.203436649004538
1370,5000496,2990.009,479.909,,,15.165500000000002,0.0087,14.358,0.0154,2.9300,-0.3850,149.952378029214,5.203448377392994
1388,318807,918.262,487.529,22.427,0.2950,,,21.427,0.2572,1.2300,-0.0130,150.04483644690504,5.203783618213688
1401,16997,1710.001,493.011,21.628,0.1776,,,21.649,0.2937,0.9900,-0.9500,150.00950255610914,5.204030160750309
1403,17059,4437.355,493.066,21.7,0.2341,,,21.202,0.2367,1.4500,3.4905,149.8877855129967,5.204027525345553
1405,17083,4731.104,493.232,20.607,0.2035,,,20.276,0.2117,2.7000,1.3220,149.87467603474278,5.204032962683653
1417,319095,4521.155,495.250,21.397,0.1922,,,20.669,0.1735,1.4100,-1.0715,149.88404565787525,5.204124065426849
1479,319507,731.930,509.184,21.655,0.1760,,,21.264,0.2298,1.2100,1.0600,150.05315222866057,5.204745087987396
1543,319840,1713.264,521.127,22.305,0.2680,23.3935,0.2021,,,0.8100,-2.4335,150.00935700385608,5.205279761574526
1579,18184,2151.377,534.627,22.208,0.2869,,,21.115000000000002,0.1231,1.1800,0.3165,149.9898047530596,5.205880512608842
1607,18354,1868.212,546.863,22.276,0.2342,,,21.796,0.2978,1.0200,-0.1895,150.0024419802021,5.206423913196761
1614,5000550,2394.529,549.002,,,16.4865,0.0072,15.621,0.0102,1.1600,-0.3755,149.97895326941392,5.206519556600358
1616,18532,2392.143,549.719,15.952,0.0183,16.527500000000003,0.0088,15.717,0.0051,1.4800,-0.5767,149.9790597531235,5.2065514224442815
1647,321027,1707.399,557.327,22.209,0.2641,,,21.665000000000003,0.2615,1.1100,0.7515,150.0096188396653,5.206888627377536
1654,18718,2143.571,558.859,22.342,0.2589,,,21.039,0.1756,1.0850,-0.7170,149.99015314883678,5.206957476451339
1709,321453,1901.807,576.014,16.314,0.0248,16.744500000000002,0.0076,16.235,0.0067,1.6727,-1.0270,150.00094274221004,5.207719569082193
1710,321523,3288.363,576.527,22.326,0.2925,,,21.221,0.2145,1.2050,3.1135,149.9390627674995,5.207741869731433
1724,19375,581.183,584.078,22.105999999999998,0.2771,,,21.404,0.2842,1.3550,1.5230,150.05988026216124,5.20807282538431
1734,321826,230.276,589.499,21.378,0.2576,,,20.139,0.2158,2.4450,-0.8275,150.07554073937803,5.208311469269073
1782,322586,2129.968,613.251,22.311,0.2917,,,21.601000000000003,0.2910,1.2100,-1.9410,149.99076029183155,5.2093748713633845
1784,322550,1617.786,613.465,17.497999999999998,0.0278,18.0335,0.0090,17.287000000000003,0.0107,1.1477,-0.9290,150.01361828726414,5.209383405827464
1832,20486,4163.308,623.703,22.215,0.2765,,,21.441000000000003,0.2688,1.2500,-0.2795,149.90001502331316,5.209835144529755
1833,322907,2032.819,623.807,22.038999999999998,0.1897,22.6445,0.0955,,,0.7530,-1.4570,149.99509593712614,5.2098439026415555
1834,322941,2982.641,623.842,21.845,0.1854,23.110500000000002,0.1569,,,0.7900,-0.6380,149.9527066162517,5.2098453768871344
1859,20699,1811.293,629.005,22.233,0.2492,,,21.581,0.2760,1.1250,1.7860,150.00498236426947,5.210074534787593
1879,323102,853.553,631.576,22.009999999999998,0.1863,22.9995,0.1344,21.34,0.1726,0.9103,-0.4743,150.04772505056704,5.2101853441898145
2003,324250,743.533,669.458,17.713,0.0312,18.2315,0.0091,17.651,0.0128,1.1290,-0.9923,150.05263530748735,5.211868397009357
2057,324979,4200.833,692.771,22.206,0.2536,,,21.650000000000002,0.2883,1.1300,0.0280,149.89833994993117,5.212904614808044
2085,325029,1504.719,698.563,22.38,0.2788,23.4805,0.2226,,,0.8100,-0.6440,150.0186645828838,5.213165192693043
2093,325199,77.074,701.330,20.997,0.2988,,,24.96,0.1957,1.7000,3.3735,150.0823787755913,5.21328058225361
2138,325451,4331.718,709.532,21.983,0.2494,,,21.428,0.2660,1.3000,1.7845,149.89249860405673,5.213648808638993
2235,326113,811.497,735.264,22.203,0.2374,,,21.290000000000003,0.2972,1.3400,1.0390,150.04960251293318,5.214793455639898
2289,326606,1334.342,747.516,21.923,0.1929,,,21.379,0.1694,1.1485,2.0890,150.02626850466856,5.215340301870106
2334,5000697,3194.691,757.291,,,16.9615,0.0069,16.094,0.0123,1.0500,-0.3270,149.94324279390358,5.215776008650672
2364,24276,4319.660,761.391,22.014,0.2500,,,21.071,0.2858,1.6150,1.1905,149.8930364306904,5.21595370994786
2403,327318,930.846,768.273,21.895,0.1927,23.3045,0.1806,,,0.8750,-0.4200,150.04427625280178,5.216261118818691
2421,327967,510.653,771.307,19.811,0.0990,17.838500000000003,0.0093,16.233,0.0108,0.6463,0.0117,150.0630291011493,5.216393635212342
2444,24621,547.493,776.784,21.735,0.2023,,,21.076,0.2398,1.3450,-3.8535,150.06138500024252,5.216637282325562
2474,327839,1195.688,782.735,21.887999999999998,0.1783,23.491500000000002,0.1367,21.421,0.2795,0.9710,-0.9733,150.03245664896363,5.216905052482352
2522,328396,2348.148,791.641,21.939999999999998,0.2294,,,21.335,0.2507,1.1050,1.5945,149.98102328586072,5.217303443430895
2527,328255,844.768,792.260,22.326999999999998,0.2763,,,21.857,0.2912,1.0450,1.1405,150.04811796340428,5.217326770531297
2560,5000721,1461.906,798.094,,,23.805500000000002,0.2916,21.700000000000003,0.2896,0.7650,-0.4270,150.0205756085975,5.217588636545898
2564,25226,2719.340,798.954,22.227,0.2573,,,21.388,0.2620,1.2750,0.6195,149.96445726179277,5.217628401977996
2586,25503,2189.721,805.301,22.348,0.2788,,,21.19,0.2125,1.1600,-2.0345,149.98809377584155,5.217910446304612
